date,time,plot,tag_number,treatment,depth,percent_zostera,percent_halodule,z_shoot_density,h_shoot_density,percent_macroalgae,z_height_1,z_height_2,z_height_3,z_height_4,z_height_5,h_height_1,h_height_2,h_height_3,h_height_4,h_height_5,death,comments
29May2026,13:02,1,70,1,43,30,60,4,40,0,9.5,17,17,13.3,NA,13.5,9.5,13,12.5,12.7,,"first plot, shoot count likely off"
29May2026,13:21,2,91,2,39,10,80,4,73,0,15.4,15.5,16.2,15.1,NA,13.9,16.2,12.7,11.6,16.7,,
29May2026,16:02,3,92,0,47,20,80,9,118,0,21,22.1,19.7,11.8,23.9,16.7,16.9,16.9,18.1,14.2,,
29May2026,13:41,4,79,2,39,30,40,8,54,0,17.7,18.4,18.1,21.8,16.7,16,20.8,20,15.5,14.3,,
29May2026,14:05,5,75,2,32,0,40,0,80,0,NA,NA,NA,NA,NA,14.3,15.9,15.2,17.6,12,,
29May2026,14:01,6,72,4,37,5,80,2,73,0,15.8,12.1,NA,NA,NA,17.6,15.6,16.3,13.3,12.4,,
29May2026,16:10,7,83,0,46,5,60,3,81,0,13.9,16.8,13.7,NA,NA,16.1,18.4,13.3,17.5,14.1,,
29May2026,13:50,8,77,2,38,40,50,7,63,0,24.4,22.8,16.1,19.3,14,13.2,12.9,9.9,16.7,14.5,,
29May2026,14:36,9,69,4,32,30,30,8,33,0,22.2,19.1,13.8,11.2,18.4,9.7,10.4,15.8,15.2,12.4,,
29May2026,14:27,10,94,4,32,80,80,0,91,0,NA,NA,NA,NA,NA,11.1,13.5,11,14.3,12.1,,
29May2026,14:27,11,82,1,31,40,40,14,21,0,19.2,13.4,14.3,10.2,13.9,15.5,12.7,13.4,12.8,9.9,,
29May2026,14:20,12,67,1,33,60,40,37,18,0,29.8,21.5,17.4,21.3,21,16.6,10.9,20.1,13.2,14.7,,
29May2026,16:27,13,97,0,48,30,30,9,41,0,24.8,23.9,21.2,18.8,12.9,11.9,14.6,12.3,12.7,15.3,,
29May2026,14:46,14,68,2,31,60,60,1,67,0,15.4,NA,NA,NA,NA,13.6,12.2,11,15.1,13.9,,
