date,choice_a,choice_b,a_before,a_after,b_before,b_after,a_amount_eaten,b_amount_eaten
3June2026,detrital,halodule,12.89,12.9,1.09,0.29,-0.07,0.59
3June2026,detrital,halodule,68.05,67.73,1.15,0.74,0.00,0.19
3June2026,detrital,halodule,102.91,103.37,1.13,0.89,-0.95,0.02
3June2026,detrital,halodule,66.22,64.84,0.84,0.52,1.07,0.16
3June2026,detrital,halodule,31.4,30.79,0.97,0.53,0.46,0.25
3June2026,detrital,halodule,68.08,66.73,0.99,0.64,1.03,0.16
3June2026,detrital,halodule,65.44,65.61,1.48,1.28,-0.48,-0.09
3June2026,detrital,halodule,78.03,76.58,1.09,0.79,1.08,0.09
3June2026,detrital,halodule,127.95,127,1.14,0.6,0.34,0.32
3June2026,detrital,halodule,202.6,202.26,1.05,0.49,-0.62,0.36
3June2026,detrital,halodule,46.87,46.21,1.32,0.97,0.44,0.09
3June2026,detrital,halodule,59,59.31,0.82,0.29,-0.59,0.37
4June2026,detrital,zostera,118,119,0.88,0.4,-1.47,0.44
4June2026,detrital,zostera,49.83,49.16,1.51,1.04,0.47,0.41
4June2026,detrital,zostera,73.76,73.86,1,0.51,-0.39,0.45
4June2026,detrital,zostera,32.6,31.79,1,0.54,0.68,0.42
4June2026,detrital,zostera,75.27,74.9,1.15,0.69,0.07,0.41
4June2026,detrital,zostera,64.39,65.44,0.96,0.44,-1.31,0.48
4June2026,detrital,zostera,60.18,59.67,1.18,0.44,0.27,0.69
4June2026,detrital,zostera,155.49,154.05,0.82,0.26,0.82,0.52
4June2026,detrital,zostera,30.63,28.82,1.07,0.64,1.69,0.38
4June2026,detrital,zostera,27.93,27.72,1.04,0.48,0.10,0.52
4June2026,detrital,zostera,51.57,51.31,0.83,0.25,0.06,0.54
4June2026,detrital,zostera,48.25,47.36,1.04,0.67,0.70,0.33
9June2026,zostera,halodule,0.61,0.38,0.68,0.39,0.18,0.16
9June2026,zostera,halodule,0.68,0.26,0.67,0.28,0.37,0.27
9June2026,zostera,halodule,0.84,0.6,0.66,0.18,0.17,0.36
9June2026,zostera,halodule,0.74,0.37,0.73,0.48,0.31,0.11
9June2026,zostera,halodule,0.76,0.37,0.94,0.62,0.33,0.15
9June2026,zostera,halodule,0.7,0.22,0.81,0.24,0.42,0.42
9June2026,zostera,halodule,0.73,0.51,0.73,0.3,0.16,0.29
9June2026,zostera,halodule,0.71,0.43,0.72,0.39,0.22,0.20
9June2026,zostera,halodule,0.77,0.36,0.71,0.52,0.35,0.06
9June2026,zostera,halodule,0.9,0.58,0.8,0.41,0.25,0.24
9June2026,zostera,halodule,0.79,0.49,0.89,0.46,0.24,0.27
9June2026,zostera,halodule,0.84,0.37,0.84,0.47,0.40,0.21
